0.00,491448.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00
1.00,491445.77,0.40,1.82,0.00,0.00,1.88,0.00,3.12
2.00,491444.94,0.48,2.16,0.04,0.28,0.74,0.07,4.30
3.00,491444.43,0.48,2.16,0.08,0.54,0.32,0.11,4.88
4.00,491443.96,0.47,2.13,0.10,0.74,0.17,0.12,5.31
5.00,491443.44,0.48,2.14,0.12,0.88,0.11,0.13,5.70
6.00,491442.88,0.49,2.19,0.14,0.99,0.09,0.13,6.10
7.00,491442.27,0.50,2.27,0.15,1.08,0.08,0.13,6.52
8.00,491441.61,0.53,2.37,0.16,1.16,0.08,0.14,6.96
9.00,491440.92,0.55,2.48,0.17,1.23,0.08,0.14,7.42
10.00,491440.18,0.58,2.61,0.18,1.31,0.08,0.15,7.91
11.00,491439.39,0.61,2.75,0.19,1.38,0.09,0.16,8.43
12.00,491438.56,0.64,2.90,0.20,1.46,0.09,0.16,8.97
13.00,491437.69,0.68,3.06,0.21,1.54,0.10,0.17,9.55
14.00,491436.76,0.72,3.23,0.23,1.63,0.10,0.18,10.16
15.00,491435.79,0.76,3.41,0.24,1.72,0.11,0.19,10.80
16.00,491434.75,0.80,3.59,0.25,1.81,0.11,0.20,11.47
17.00,491433.67,0.84,3.79,0.27,1.91,0.12,0.21,12.19
18.00,491432.52,0.89,4.00,0.28,2.02,0.13,0.23,12.94
19.00,491431.31,0.94,4.23,0.30,2.13,0.13,0.24,13.73
20.00,491430.02,0.99,4.46,0.31,2.25,0.14,0.25,14.57
21.00,491428.67,1.05,4.71,0.33,2.37,0.15,0.27,15.46
22.00,491427.25,1.10,4.97,0.35,2.50,0.16,0.28,16.39
23.00,491425.74,1.17,5.25,0.37,2.64,0.16,0.30,17.38
24.00,491424.15,1.23,5.54,0.39,2.79,0.17,0.31,18.42
25.00,491422.47,1.30,5.85,0.41,2.94,0.18,0.33,19.52
26.00,491420.70,1.37,6.17,0.43,3.11,0.19,0.35,20.67
