0.00,618431.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00
1.00,618428.58,0.44,1.98,0.00,0.00,1.88,0.00,3.12
2.00,618427.67,0.52,2.35,0.04,0.25,0.75,0.13,4.30
3.00,618427.10,0.52,2.36,0.09,0.51,0.33,0.21,4.88
4.00,618426.54,0.52,2.36,0.13,0.74,0.17,0.24,5.29
5.00,618425.92,0.54,2.42,0.16,0.94,0.12,0.25,5.66
6.00,618425.20,0.56,2.54,0.19,1.13,0.10,0.26,6.02
7.00,618424.38,0.60,2.72,0.22,1.30,0.09,0.27,6.41
8.00,618423.46,0.66,2.95,0.25,1.48,0.09,0.28,6.82
9.00,618422.43,0.72,3.23,0.28,1.66,0.10,0.30,7.27
10.00,618421.28,0.79,3.55,0.32,1.86,0.11,0.33,7.77
11.00,618420.00,0.87,3.91,0.35,2.07,0.12,0.36,8.31
12.00,618418.58,0.96,4.32,0.39,2.30,0.13,0.40,8.92
13.00,618417.00,1.06,4.78,0.44,2.55,0.14,0.44,9.58
14.00,618415.25,1.18,5.30,0.48,2.83,0.15,0.49,10.32
15.00,618413.31,1.30,5.86,0.54,3.14,0.17,0.54,11.13
16.00,618411.16,1.44,6.50,0.60,3.48,0.19,0.60,12.04
17.00,618408.77,1.60,7.20,0.66,3.86,0.21,0.66,13.04
18.00,618406.13,1.77,7.98,0.73,4.28,0.23,0.73,14.15
19.00,618403.20,1.96,8.84,0.81,4.74,0.26,0.81,15.38
20.00,618399.96,2.18,9.79,0.90,5.25,0.29,0.90,16.74
21.00,618396.36,2.41,10.85,0.99,5.82,0.32,1.00,18.25
22.00,618392.38,2.67,12.03,1.10,6.45,0.35,1.10,19.92
23.00,618387.96,2.96,13.33,1.22,7.14,0.39,1.22,21.77
24.00,618383.07,3.28,14.77,1.35,7.92,0.43,1.36,23.83
25.00,618377.65,3.64,16.36,1.50,8.77,0.48,1.50,26.10
26.00,618371.64,4.03,18.14,1.66,9.72,0.53,1.66,28.62
27.00,618364.97,4.47,20.10,1.84,10.77,0.59,1.84,31.42
28.00,618357.59,4.95,22.27,2.04,11.94,0.65,2.04,34.51
29.00,618349.41,5.48,24.68,2.26,13.23,0.72,2.27,37.94
30.00,618340.35,6.08,27.35,2.51,14.66,0.80,2.51,41.74
31.00,618330.30,6.74,30.31,2.78,16.25,0.88,2.78,45.96
32.00,618319.17,7.46,33.59,3.08,18.01,0.98,3.08,50.63
33.00,618306.84,8.27,37.22,3.41,19.95,1.08,3.42,55.80
34.00,618293.17,9.17,41.25,3.78,22.11,1.20,3.79,61.54
35.00,618278.02,10.16,45.71,4.19,24.50,1.33,4.20,67.89
36.00,618261.23,11.26,50.66,4.64,27.16,1.48,4.65,74.93
37.00,618242.63,12.47,56.13,5.14,30.09,1.64,5.15,82.74
38.00,618222.01,13.82,62.21,5.70,33.35,1.81,5.71,91.39
39.00,618199.17,15.32,68.93,6.32,36.96,2.01,6.33,100.97
40.00,618173.85,16.98,76.39,7.00,40.95,2.23,7.01,111.59
41.00,618145.80,18.81,84.65,7.76,45.38,2.47,7.77,123.36
42.00,618114.72,20.85,93.80,8.60,50.29,2.73,8.61,136.40
43.00,618080.27,23.10,103.95,9.53,55.73,3.03,9.54,150.85
44.00,618042.10,25.60,115.19,10.56,61.76,3.36,10.58,166.87
45.00,617999.81,28.36,127.64,11.70,68.44,3.72,11.72,184.61
46.00,617952.95,31.43,141.44,12.96,75.84,4.12,12.99,204.28
47.00,617901.02,34.83,156.72,14.37,84.04,4.57,14.39,226.07
48.00,617843.48,38.59,173.66,15.92,93.12,5.06,15.94,250.22
49.00,617779.73,42.76,192.42,17.64,103.19,5.61,17.67,276.98
50.00,617709.09,47.38,213.21,19.55,114.34,6.21,19.58,306.63
51.00,617630.83,52.50,236.24,21.66,126.70,6.89,21.69,339.49
52.00,617544.12,58.17,261.76,24.00,140.39,7.63,24.04,375.89
53.00,617448.06,64.45,290.02,26.59,155.57,8.45,26.63,416.23
54.00,617341.63,71.40,321.32,29.47,172.37,9.37,29.51,460.93
55.00,617223.72,79.11,356.00,32.65,190.99,10.38,32.69,510.46
56.00,617093.11,87.64,394.40,36.17,211.62,11.50,36.22,565.33
57.00,616948.43,97.10,436.93,40.08,234.46,12.74,40.13,626.13
58.00,616788.16,107.56,484.04,44.41,259.77,14.11,44.46,693.49
59.00,616610.64,119.15,536.19,49.20,287.81,15.64,49.25,768.12
60.00,616414.03,131.99,593.94,54.50,318.85,17.32,54.56,850.80
61.00,616196.28,146.20,657.88,60.38,353.24,19.19,60.44,942.40
62.00,615955.14,161.93,728.66,66.89,391.32,21.25,66.94,1043.86
63.00,615688.11,179.34,807.01,74.10,433.49,23.54,74.15,1156.26
64.00,615392.45,198.60,893.72,82.08,480.18,26.07,82.12,1280.77
65.00,615065.11,219.93,989.67,90.92,531.87,28.87,90.95,1418.67
66.00,614702.74,243.52,1095.84,100.70,589.10,31.97,100.72,1571.41
67.00,614301.64,269.62,1213.28,111.53,652.44,35.41,111.53,1740.57
68.00,613857.71,298.48,1343.16,123.51,722.54,39.20,123.49,1927.90
69.00,613366.47,330.40,1486.79,136.77,800.12,43.40,136.71,2135.33
70.00,612822.95,365.68,1645.56,151.45,885.96,48.04,151.34,2365.02
71.00,612221.70,404.68,1821.04,167.68,980.91,53.18,167.51,2619.31
72.00,611556.71,447.76,2014.93,185.63,1085.92,58.85,185.39,2900.81
73.00,610821.38,495.35,2229.07,205.48,1202.05,65.12,205.14,3212.40
74.00,610008.46,547.89,2465.52,227.42,1330.43,72.05,226.96,3557.26
75.00,609110.02,605.88,2726.47,251.68,1472.31,79.70,251.06,3938.88
76.00,608117.32,669.86,3014.36,278.48,1629.08,88.15,277.66,4361.10
77.00,607020.84,740.40,3331.79,308.08,1802.24,97.46,307.01,4828.17
78.00,605810.16,818.14,3681.62,340.76,1993.44,107.74,339.38,5344.76
79.00,604473.90,903.76,4066.92,376.83,2204.46,119.07,375.07,5915.99
80.00,602999.69,998.00,4490.99,416.63,2437.27,131.55,414.39,6547.49
