0.00,499499.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00
1.00,499496.15,2.70,0.15,0.00,0.00,3.08,0.00,1.92
2.00,499494.40,3.84,0.21,0.26,0.02,2.15,0.01,3.11
3.00,499493.00,4.42,0.25,0.54,0.03,1.69,0.03,4.03
4.00,499491.70,4.81,0.27,0.78,0.05,1.47,0.04,4.89
5.00,499490.37,5.14,0.29,0.97,0.06,1.37,0.05,5.76
6.00,499488.98,5.47,0.30,1.13,0.07,1.34,0.05,6.66
7.00,499487.50,5.82,0.32,1.26,0.08,1.35,0.06,7.61
8.00,499485.94,6.18,0.34,1.39,0.08,1.39,0.06,8.61
9.00,499484.27,6.57,0.37,1.50,0.09,1.45,0.07,9.68
10.00,499482.50,6.99,0.39,1.61,0.10,1.52,0.07,10.82
11.00,499480.61,7.43,0.41,1.73,0.11,1.61,0.08,12.02
12.00,499478.60,7.90,0.44,1.84,0.11,1.71,0.08,13.31
13.00,499476.47,8.41,0.47,1.97,0.12,1.81,0.09,14.67
14.00,499474.20,8.94,0.50,2.09,0.13,1.92,0.10,16.13
15.00,499471.78,9.51,0.53,2.23,0.14,2.04,0.10,17.67
16.00,499469.21,10.12,0.56,2.37,0.14,2.17,0.11,19.31
17.00,499466.48,10.76,0.60,2.52,0.15,2.31,0.12,21.06
18.00,499463.57,11.45,0.64,2.68,0.16,2.46,0.12,22.92
19.00,499460.47,12.18,0.68,2.86,0.17,2.61,0.13,24.90
20.00,499457.18,12.95,0.72,3.04,0.19,2.78,0.14,27.00
21.00,499453.68,13.78,0.77,3.23,0.20,2.95,0.15,29.24
22.00,499449.96,14.65,0.81,3.44,0.21,3.14,0.16,31.62
23.00,499446.00,15.59,0.87,3.66,0.22,3.34,0.17,34.15
24.00,499441.79,16.58,0.92,3.89,0.24,3.56,0.18,36.85
25.00,499437.31,17.64,0.98,4.14,0.25,3.78,0.19,39.71
26.00,499432.54,18.76,1.04,4.40,0.27,4.02,0.20,42.76
27.00,499427.47,19.96,1.11,4.68,0.29,4.28,0.21,46.00
28.00,499422.08,21.23,1.18,4.98,0.30,4.55,0.23,49.45
29.00,499416.34,22.58,1.25,5.30,0.32,4.84,0.24,53.12
30.00,499410.24,24.02,1.33,5.63,0.34,5.15,0.26,57.02
31.00,499403.75,25.55,1.42,5.99,0.37,5.48,0.27,61.17
32.00,499396.85,27.17,1.51,6.38,0.39,5.83,0.29,65.58
33.00,499389.51,28.90,1.61,6.78,0.41,6.20,0.31,70.28
34.00,499381.70,30.74,1.71,7.21,0.44,6.59,0.33,75.27
35.00,499373.39,32.70,1.82,7.67,0.47,7.01,0.35,80.59
36.00,499364.55,34.78,1.93,8.16,0.50,7.46,0.37,86.24
37.00,499355.16,37.00,2.06,8.68,0.53,7.94,0.40,92.25
38.00,499345.16,39.35,2.19,9.23,0.56,8.44,0.42,98.64
39.00,499334.53,41.86,2.33,9.82,0.60,8.98,0.45,105.44
40.00,499323.22,44.52,2.47,10.45,0.64,9.55,0.48,112.67
41.00,499311.19,47.36,2.63,11.11,0.68,10.16,0.51,120.37
42.00,499298.39,50.37,2.80,11.82,0.72,10.81,0.54,128.55
43.00,499284.78,53.58,2.98,12.57,0.77,11.49,0.57,137.26
44.00,499270.30,56.99,3.17,13.37,0.82,12.22,0.61,146.52
45.00,499254.91,60.62,3.37,14.22,0.87,13.00,0.65,156.36
46.00,499238.53,64.47,3.58,15.13,0.92,13.83,0.69,166.84
47.00,499221.11,68.58,3.81,16.09,0.98,14.71,0.74,177.98
48.00,499202.59,72.94,4.05,17.11,1.05,15.65,0.78,189.83
49.00,499182.88,77.58,4.31,18.20,1.11,16.64,0.83,202.44
50.00,499161.93,82.51,4.58,19.36,1.18,17.70,0.89,215.84
51.00,499139.64,87.76,4.88,20.59,1.26,18.83,0.94,230.10
52.00,499115.93,93.34,5.19,21.90,1.34,20.02,1.00,245.27
53.00,499090.72,99.28,5.52,23.30,1.42,21.30,1.06,261.40
54.00,499063.90,105.59,5.87,24.78,1.51,22.65,1.13,278.56
55.00,499035.38,112.30,6.24,26.35,1.61,24.09,1.20,296.81
56.00,499005.05,119.44,6.64,28.03,1.71,25.62,1.28,316.22
57.00,498972.79,127.03,7.06,29.81,1.82,27.25,1.36,336.87
58.00,498938.49,135.10,7.51,31.71,1.94,28.99,1.45,358.82
59.00,498902.00,143.69,7.98,33.72,2.06,30.83,1.54,382.18
60.00,498863.20,152.81,8.49,35.87,2.19,32.79,1.64,407.01
61.00,498821.94,162.52,9.03,38.14,2.33,34.87,1.74,433.43
62.00,498778.06,172.84,9.60,40.57,2.48,37.09,1.85,461.52
63.00,498731.39,183.81,10.21,43.14,2.64,39.44,1.97,491.40
64.00,498681.77,195.47,10.86,45.88,2.80,41.94,2.10,523.17
65.00,498629.00,207.87,11.55,48.80,2.98,44.61,2.23,556.96
66.00,498572.89,221.05,12.28,51.89,3.17,47.44,2.37,592.90
67.00,498513.22,235.07,13.06,55.18,3.37,50.45,2.52,631.12
68.00,498449.78,249.97,13.89,58.69,3.59,53.65,2.68,671.76
69.00,498382.32,265.81,14.77,62.41,3.81,57.05,2.85,714.98
70.00,498310.59,282.64,15.70,66.36,4.06,60.67,3.03,760.95
71.00,498234.33,300.54,16.70,70.57,4.31,64.51,3.23,809.82
72.00,498153.24,319.56,17.75,75.04,4.59,68.60,3.43,861.79
